what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1393790320034
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790321799
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1393790333827
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1393790333916
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393790333970
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1393790334012
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393790334064
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1393790334332
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1393790334388
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1393790334391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790334401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790336507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAs",1393790347531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790347536
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790353922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790356789
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790361831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1393790380814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790380833
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1393790381323
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1393790381334
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1393790384310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790384484
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1393790397466
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1393790397501
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1393790397551
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1393790397565
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1393790397623
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1393790397664
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1393790397682
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1393790397684
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1393790397690
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1393790397770
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1393790397775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790397986
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1393790399610
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1393790400533
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393790401480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790403518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790403971
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1393790404099
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1393790410998
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1393790412839
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790416333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790419759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790420987
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393790483886
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1393790485684
